名稱,斷詞結果_0,斷詞結果_1,斷詞結果_2,斷詞結果_3,斷詞結果_4,斷詞結果_5,斷詞結果_6,斷詞結果_7,斷詞結果_8,斷詞結果_9,斷詞結果_10,斷詞結果_11,斷詞結果_12,斷詞結果_13,斷詞結果_14,斷詞結果_15,斷詞結果_16,斷詞結果_17,斷詞結果_18,斷詞結果_19,斷詞結果_20,斷詞結果_21,斷詞結果_22,斷詞結果_23,斷詞結果_24,斷詞結果_25,斷詞結果_26,斷詞結果_27,斷詞結果_28,斷詞結果_29,斷詞結果_30,斷詞結果_31,斷詞結果_32,斷詞結果_33,斷詞結果_34,斷詞結果_35,斷詞結果_36,斷詞結果_37,斷詞結果_38,斷詞結果_39,斷詞結果_40,斷詞結果_41,斷詞結果_42,斷詞結果_43,斷詞結果_44,斷詞結果_45,斷詞結果_46,斷詞結果_47,斷詞結果_48,斷詞結果_49,斷詞結果_50,斷詞結果_51,斷詞結果_52,斷詞結果_53,斷詞結果_54
聖得福建設開發台北市大同區雙連段三小段寧夏案新建大樓行人風場量測與分析,聖得福,建設,開發,台北市,大同區,雙連段,三,小,段,寧夏案,新建,大樓,行人,風場,量測,與,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
企業能源管理節能系統試點示範專案,企業,能源,管理,節能,系統,試點,示範,專案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「個人化虛擬健管師助理服務系統(II)」專題委託研究,「,個人化,虛擬,健管師,助理,服務,系統,(,II,),」,專題,委託,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度智慧財產專業人員培訓計畫,104年度,智慧,財產,專業,人員,培訓,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度產業人才投資計畫,104年度,產業,人才,投資,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
結合行動裝置感測器之室內導航研究計畫,結合,行動,裝置,感測器,之,室,內,導航,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「超輕量6XXX系鋁合金自行車跑車車架研製計畫」合作研究「新型高強度鋁合金管材研究開發」,「,超輕量,6,XXX,系,鋁合金,自行車,跑車,車架,研製,計畫,」,合作,研究,「,新型,高強度,鋁合金,管材,研究,開發,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
護具創新設計及驗證確效,護具,創新,設計,及,驗證,確效,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鐵道周邊亮點與服務機能提升計畫─沿線場站與公有土地活化開發規劃案,鐵道,周邊,亮點,與,服務,機能,提升,計畫,─,沿線,場站,與,公有,土地,活化,開發,規劃案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿公店水庫運用規線檢討,阿公店,水庫,運用,規線,檢討,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
